x,y,z,xc,yc
0.0,-3.406404,5.979507,0.499977,0.652534
0.0,-1.126865,7.475604,0.500026,0.547487
0.0,-2.089024,6.058267,0.499974,0.602372
-0.463928,0.955357,6.633583,0.482113,0.471979
0.0,-0.46317,7.58658,0.500151,0.527156
0.0,0.365669,7.24287,0.49991,0.498253
0.0,2.473255,5.788627,0.499523,0.401062
-4.253081,2.577646,3.279702,0.289712,0.380764
0.0,4.019042,5.284764,0.499955,0.312398
0.0,4.885979,5.385258,0.499987,0.269919
0.0,8.261778,4.481535,0.500023,0.10705
0.0,-3.706811,5.864924,0.500023,0.666234
0.0,-3.918301,5.56943,0.500016,0.679224
0.0,-3.994436,5.219482,0.500023,0.692348
0.0,-4.5424,5.404754,0.499977,0.695278
0.0,-4.745577,5.529457,0.499977,0.705934
0.0,-5.019567,5.601448,0.499977,0.719385
0.0,-5.365123,5.535441,0.499977,0.737019
0.0,-6.149624,5.071372,0.499968,0.781371
0.0,-1.501095,7.112196,0.499816,0.562981
-0.416106,-1.466449,6.447657,0.473773,0.57391
-7.08796,5.434801,0.09962,0.104907,0.254141
-2.628639,2.035898,3.848121,0.36593,0.409576
-3.198363,1.985815,3.796952,0.338758,0.413025
-3.775151,2.039402,3.646194,0.31112,0.40946
-4.465819,2.42295,3.155168,0.274658,0.389131
-2.164289,2.189867,3.851822,0.393362,0.403706
-3.208229,3.223926,4.115822,0.345234,0.344011
-2.673803,3.205337,4.092203,0.370094,0.346076
-3.745193,3.165286,3.972409,0.319322,0.347265
-4.161018,3.059069,3.719554,0.297903,0.353591
-5.062006,1.934418,2.776093,0.247792,0.41081
-2.266659,-7.425768,4.389812,0.396889,0.842755
-4.445859,2.663991,3.173422,0.280098,0.3756
-7.21453,2.263009,0.07315,0.10631,0.399956
-5.799793,2.349546,2.204059,0.209925,0.391353
-2.844939,-0.720868,4.43313,0.355808,0.534406
-0.711452,-3.329355,5.877044,0.471751,0.650404
-0.606033,-3.924562,5.444923,0.474155,0.680192
-1.431615,-3.500953,5.496189,0.439785,0.657229
-1.91491,-3.803146,5.02893,0.414617,0.666541
-1.131043,-3.973937,5.189648,0.450374,0.680861
-1.563548,-4.082763,4.842263,0.428771,0.682691
-2.650112,-5.003649,4.188483,0.374971,0.727805
-0.427049,-1.094134,7.360529,0.486717,0.547629
-0.496396,-0.475659,7.440358,0.485301,0.527395
-5.253307,3.881582,3.363159,0.257765,0.31449
-1.718698,0.974609,4.558359,0.401223,0.455172
-1.608635,-0.942516,5.814193,0.429819,0.548615
